Game_ID,Date,Home,Away,Home_Runs,Away_Runs,Game_Number
SD-LAD-20240412-1,2024-04-12,SD,LAD,7,8,1
ATL-MIA-20240412-1,2024-04-12,ATL,MIA,1,8,1
KC-NYM-20240412-1,2024-04-12,KC,NYM,6,1,1
WAS-OAK-20240412-1,2024-04-12,WAS,OAK,2,1,1
PIT-PHI-20240412-1,2024-04-12,PIT,PHI,2,5,1
CHC-SEA-20240412-1,2024-04-12,CHC,SEA,4,2,1
SF-TB-20240412-1,2024-04-12,SF,TB,2,1,1
COL-TOR-20240412-1,2024-04-12,COL,TOR,4,12,1
STL-ARI-20240413-1,2024-04-13,STL,ARI,4,2,1
MIL-BAL-20240413-1,2024-04-13,MIL,BAL,5,11,1
LAA-BOS-20240413-1,2024-04-13,LAA,BOS,7,2,1
CIN-CHW-20240413-1,2024-04-13,CIN,CHW,0,5,1
NYY-CLE-20240413-1,2024-04-13,NYY,CLE,2,3,1
NYY-CLE-20240413-2,2024-04-13,NYY,CLE,2,8,2
MIN-DET-20240413-1,2024-04-13,MIN,DET,5,11,1
MIN-DET-20240413-2,2024-04-13,MIN,DET,1,4,2
TEX-HOU-20240413-1,2024-04-13,TEX,HOU,9,2,1
SD-LAD-20240413-1,2024-04-13,SD,LAD,5,2,1
ATL-MIA-20240413-1,2024-04-13,ATL,MIA,5,1,1
KC-NYM-20240413-1,2024-04-13,KC,NYM,7,11,1
WAS-OAK-20240413-1,2024-04-13,WAS,OAK,1,3,1
PIT-PHI-20240413-1,2024-04-13,PIT,PHI,4,3,1
CHC-SEA-20240413-1,2024-04-13,CHC,SEA,1,4,1
SF-TB-20240413-1,2024-04-13,SF,TB,2,11,1
COL-TOR-20240413-1,2024-04-13,COL,TOR,5,3,1
STL-ARI-20240414-1,2024-04-14,STL,ARI,5,0,1
MIL-BAL-20240414-1,2024-04-14,MIL,BAL,6,4,1
LAA-BOS-20240414-1,2024-04-14,LAA,BOS,5,4,1
CIN-CHW-20240414-1,2024-04-14,CIN,CHW,4,11,1
NYY-CLE-20240414-1,2024-04-14,NYY,CLE,8,7,1
MIN-DET-20240414-1,2024-04-14,MIN,DET,4,3,1
TEX-HOU-20240414-1,2024-04-14,TEX,HOU,8,5,1
SD-LAD-20240414-1,2024-04-14,SD,LAD,3,6,1
ATL-MIA-20240414-1,2024-04-14,ATL,MIA,7,9,1
KC-NYM-20240414-1,2024-04-14,KC,NYM,2,1,1
WAS-OAK-20240414-1,2024-04-14,WAS,OAK,7,6,1
PIT-PHI-20240414-1,2024-04-14,PIT,PHI,2,9,1
CHC-SEA-20240414-1,2024-04-14,CHC,SEA,2,3,1
SF-TB-20240414-1,2024-04-14,SF,TB,9,4,1
COL-TOR-20240414-1,2024-04-14,COL,TOR,5,0,1
CHC-ARI-20240415-1,2024-04-15,CHC,ARI,2,3,1
MIN-BAL-20240415-1,2024-04-15,MIN,BAL,7,4,1
CLE-BOS-20240415-1,2024-04-15,CLE,BOS,0,6,1
KC-CHW-20240415-1,2024-04-15,KC,CHW,0,2,1
TEX-DET-20240415-1,2024-04-15,TEX,DET,0,1,1
ATL-HOU-20240415-1,2024-04-15,ATL,HOU,1,6,1
WAS-LAD-20240415-1,2024-04-15,WAS,LAD,4,6,1
SF-MIA-20240415-1,2024-04-15,SF,MIA,3,4,1
SD-MIL-20240415-1,2024-04-15,SD,MIL,3,7,1
PIT-NYM-20240415-1,2024-04-15,PIT,NYM,6,3,1
STL-OAK-20240415-1,2024-04-15,STL,OAK,1,3,1
COL-PHI-20240415-1,2024-04-15,COL,PHI,2,1,1
CIN-SEA-20240415-1,2024-04-15,CIN,SEA,9,3,1
LAA-TB-20240415-1,2024-04-15,LAA,TB,3,7,1
NYY-TOR-20240415-1,2024-04-15,NYY,TOR,3,1,1
CHC-ARI-20240416-1,2024-04-16,CHC,ARI,12,11,1
MIN-BAL-20240416-1,2024-04-16,MIN,BAL,11,3,1
CLE-BOS-20240416-1,2024-04-16,CLE,BOS,7,10,1
TEX-DET-20240416-1,2024-04-16,TEX,DET,4,2,1
ATL-HOU-20240416-1,2024-04-16,ATL,HOU,2,6,1
WAS-LAD-20240416-1,2024-04-16,WAS,LAD,6,2,1
SF-MIA-20240416-1,2024-04-16,SF,MIA,6,3,1
