,Game_ID,Date,Home,Away,Game_Number,Home_ML,Away_ML,Home_Win_Prob,Away_Win_Prob,Home_EV,Away_EV,Home_Runs,Away_Runs,Bet_Home,Bet_Away,Win_Bet,Return,Result,Home_Kelly,Away_Kelly,Bet_Kelly,Return_Kelly,Result_Kelly,Bet_Kelly_Units,Result_Kelly_Units
309,ARI-COL-20240409-1,2024-04-09,COL,ARI,1,2.54,1.5555555555555556,0.4239402891381062,0.5760597108618938,0.0810477373021707,-0.103907116437054,2,3,1.0,0.0,0,0.0,-1.0,0.0498755418251882,-0.18703280958669735,0.0498755418251882,0.0,-0.0498755418251882,0.9975108365037639,-0.9975108365037639
163,LAD-MIN-20240409-1,2024-04-09,MIN,LAD,1,2.6100000000000003,1.5617977528089888,0.4340390251761468,0.5659609748238532,0.1328418557097433,-0.1160834213425213,3,6,1.0,0.0,0,0.0,-1.0,0.0825104693849337,-0.20662848998968802,0.0825104693849337,0.0,-0.0825104693849337,1.6502093876986739,-1.6502093876986739
125,NYM-ATL-20240409-1,2024-04-09,ATL,NYM,1,1.5617977528089888,2.62,0.5674187412164623,0.4325812587835377,-0.113806685066424,0.1333628980128688,6,5,0.0,1.0,0,0.0,-1.0,-0.20257589941823478,0.0823227765511536,0.0823227765511536,0.0,-0.0823227765511536,1.6464555310230717,-1.6464555310230717
58,SEA-TOR-20240410-1,2024-04-10,TOR,SEA,1,1.8695652173913042,2.0,0.536603528394474,0.463396471605526,0.0032152922157555,-0.073207056788948,1,6,1.0,0.0,0,0.0,-1.0,0.003697586048119023,-0.07320705678894801,0.003697586048119023,0.0,-0.003697586048119023,0.07395172096238047,-0.07395172096238047
162,LAD-MIN-20240410-1,2024-04-10,MIN,LAD,1,2.46,1.6134969325153374,0.4613358433462335,0.5386641566537664,0.1348861746317345,-0.1308670355831866,3,2,1.0,0.0,1,2.46,1.46,0.09238779084365374,-0.2133132680005942,0.09238779084365374,0.2272739654753882,0.13488617463173447,1.8477558168730748,2.6977234926346894
207,HOU-KC-20240410-1,2024-04-10,KC,HOU,1,2.0700000000000003,1.847457627118644,0.4271458403465436,0.5728541596534564,-0.1158081104826546,0.0542442097824114,11,2,0.0,1.0,0,0.0,-1.0,-0.10823187895575194,0.0688220680445349,0.0688220680445349,0.0,-0.0688220680445349,1.376441360890698,-1.376441360890698
73,PIT-PHI-20240411-1,2024-04-11,PHI,PIT,1,1.7751937984496124,2.17,0.5270762520889462,0.4729237479110538,-0.0643375059816381,0.0262445329669868,5,1,0.0,1.0,0,0.0,-1.0,-0.08299538271631317,0.02243122475810829,0.02243122475810829,0.0,-0.02243122475810829,0.4486244951621658,-0.4486244951621658
206,HOU-KC-20240411-1,2024-04-11,KC,HOU,1,2.12,1.8064516129032258,0.64358669259606,0.3564133074039399,0.3644037883036474,-0.3561566059799795,13,3,1.0,0.0,1,2.12,1.12,0.25,-0.4416341914151746,0.25,0.53,0.28,5.0,5.6000000000000005
191,KC-NYM-20240412-1,2024-04-12,NYM,KC,1,1.7407407407407407,2.23,0.5382947652569808,0.4617052347430191,-0.0629683715897,0.0296026734769326,6,1,0.0,1.0,0,0.0,-1.0,-0.08500730164609498,0.02406721420888836,0.02406721420888836,0.0,-0.02406721420888836,0.4813442841777672,-0.4813442841777672
182,LAA-BOS-20240412-1,2024-04-12,BOS,LAA,1,1.9090909090909092,2.0,0.4830874425207783,0.5169125574792217,-0.0816986452983402,0.0389942405332355,0,7,0.0,1.0,1,2.0,1.0,-0.08551637070636552,0.033825114958443425,0.033825114958443425,0.06765022991688685,0.033825114958443425,0.6765022991688685,0.6765022991688685
